id,id_label,resolved,first_observed,last_observed,observations,min_cust_aff,max_cust_aff,min_start,max_etr,last_cause,longitude,latitude,county,neighborhood
66762,66762,1,2022-08-24T22:24:31Z,2022-08-24T23:04:35Z,4,4,4,2022-08-24T22:07:39Z,2022-08-25T02:00:00Z,Cause Being Investigated,-63.20246,45.39172,Colchester,
66728,66728,1,2022-08-24T15:44:33Z,2022-08-24T22:44:34Z,29,4,4,2022-08-24T15:26:00Z,2022-08-24T23:15:00Z,Cause Being Investigated,-64.99378,44.96267,Annapolis,
66759,66759,1,2022-08-24T21:34:34Z,2022-08-24T22:44:34Z,5,4,4,2022-08-24T21:21:31Z,2022-08-25T02:00:00Z,Cause Being Investigated,-64.32052,44.45883,Lunenburg,
66756,66756,1,2022-08-24T21:14:34Z,2022-08-24T22:14:30Z,5,975,975,2022-08-24T20:57:57Z,2022-08-24T23:15:00Z,Lightning,-63.12524,45.43799,Colchester,
66742,66742,1,2022-08-24T21:04:36Z,2022-08-24T21:14:34Z,2,4,4,2022-08-24T20:58:18Z,2022-08-25T00:45:00Z,Cause Being Investigated,-63.10441,45.51973,Colchester,
66743,66743,1,2022-08-24T21:04:36Z,2022-08-24T21:14:34Z,2,4,4,2022-08-24T20:59:03Z,2022-08-25T00:30:00Z,Cause Being Investigated,-63.18265,45.42278,Colchester,
66744,66744,1,2022-08-24T21:04:36Z,2022-08-24T21:14:34Z,2,4,4,2022-08-24T20:57:57Z,2022-08-25T00:45:00Z,Cause Being Investigated,-63.15438,45.40637,Colchester,
66745,66745,1,2022-08-24T21:04:36Z,2022-08-24T21:14:34Z,2,4,4,2022-08-24T20:59:08Z,2022-08-25T00:45:00Z,Cause Being Investigated,-63.19057,45.40857,Colchester,
66746,66746,1,2022-08-24T21:04:36Z,2022-08-24T21:14:34Z,2,4,4,2022-08-24T20:59:12Z,2022-08-25T00:45:00Z,Cause Being Investigated,-63.16784,45.42632,Colchester,
66747,66747,1,2022-08-24T21:04:36Z,2022-08-24T21:14:34Z,2,4,4,,,,-63.08498,45.43129,Colchester,
66748,66748,1,2022-08-24T21:04:36Z,2022-08-24T21:14:34Z,2,8,8,2022-08-24T18:59:27Z,2022-08-25T00:45:00Z,Cause Being Investigated,-64.5282,45.13604,Kings,
66749,66749,1,2022-08-24T21:04:36Z,2022-08-24T21:14:34Z,2,4,4,2022-08-24T20:59:23Z,2022-08-25T00:45:00Z,Cause Being Investigated,-63.14474,45.41113,Colchester,
66750,66750,1,2022-08-24T21:04:36Z,2022-08-24T21:14:34Z,2,4,4,2022-08-24T20:58:30Z,2022-08-25T00:45:00Z,Cause Being Investigated,-63.17549,45.37252,Colchester,
66751,66751,1,2022-08-24T21:04:36Z,2022-08-24T21:14:34Z,2,4,4,2022-08-24T20:58:53Z,2022-08-25T00:45:00Z,Cause Being Investigated,-63.20528,45.38937,Colchester,
